store_nbr,sales_2013,sales_2014,sales_2015,pct_14_13,pct_15_14,cat_14_13,cat_15_14,cat_tot,zip_cd,city_name,lat,long,promo_dep13,promo_dep14,promo_dep15
6742,51444565.23,45546754.07,45090237.11,-0.114644008,-0.01002304,-100.00%,0.00%,3,77530,CHANNELVIEW,29.78895,-95.123932,0.127,0.143,0.143
6744,39329465.31,41574388.24,38034651.27,0.057079925,-0.08514225,100.00%,-100.00%,2,77082,HOUSTON,29.729513,-95.645227,0.165,0.146,0.143
6746,37381914.37,38358950.58,38492495.15,0.026136602,0.003481445,100.00%,100.00%,8,77520,BAYTOWN,29.739243,-94.953277,0.142,0.155,0.157
6747,94056589.83,94527484.91,87218521.26,0.005006508,-0.077321042,100.00%,-100.00%,2,77494,KATY,29.771548,-95.778377,0.127,0.125,0.122
6748,39732376.27,37985772.09,40290151.93,-0.043959218,0.060664289,0.00%,100.00%,7,60516,DOWNERS GROVE,41.77424516,-88.00928141,0.166,0.166,0.165
6749,24422942.93,22148421.47,19444779.06,-0.093130523,-0.122069305,-100.00%,-100.00%,0,47201,COLUMBUS,39.19623,-85.90021,0.154,0.162,0.165
6754,32416118.54,29008603.21,27942727.43,-0.105117932,-0.036743437,-100.00%,0.00%,3,77459,MISSOURI CITY,29.600347,-95.565155,0.164,0.154,0.161
6755,57179404.59,59181263,58861443.61,0.03501013,-0.005404065,100.00%,0.00%,5,90805,LONG BEACH,33.847664,-118.193425,0.148,0.145,0.141
6756,101828159.5,100149537.2,97169709.76,-0.016484854,-0.029753781,0.00%,0.00%,4,47274,SEYMOUR,38.957862,-85.886072,0.157,0.154,0.153
6757,112771273.6,101360187.9,98490903.52,-0.101187876,-0.028307805,-100.00%,0.00%,3,47201,COLUMBUS,39.22280442,-85.8897428,0.145,0.148,0.146
6758,79382045.54,84231238.9,74708416.09,0.061086778,-0.113055713,100.00%,-100.00%,2,47240,GREENSBURG,39.35204232,-85.47914595,0.158,0.156,0.158
6760,42298475.15,42869667.33,42121954.86,0.013503848,-0.017441527,100.00%,0.00%,5,8822,FLEMINGTON,40.532005,-74.778412,0.131,0.13,0.136
6761,39944259.17,33484100.87,34073672.99,-0.161729331,0.017607524,-100.00%,100.00%,6,77338,HUMBLE,30.001707,-95.265877,0.146,0.157,0.155
